HR,NcR,TolR,alp1R,alp2R,alp3R,TR,II0,BetaR,GamaR,Bench4_1,Bench4_2,Bench4_3,Bench4_4,Bench4_5,Bench4_6,Bench4_7,Bench4_8
3,1,8.98688915460452e-07,0.734423791886012,0.705964040151939,0.721592283906846,56,0.0666745756319408,0.132945473207195,0.0593600973726904,0.0094357925,0.0151667925,0.0149307925,0.0124127925,0.00372570377143123,3.14884674579834e-05,0.00363997278637606,2.91434250188807e-05
5,2,5.90084572058627e-07,0.984846777612121,0.707863296063316,0.990182899000082,79,0.0289156608923356,0.358226596324809,0.120521531229188,0.0499067925,0.0813367925,0.0731387925,0.0697517925,0.0152790227585909,8.01354761570474e-05,0.0150944467885231,7.89870468135381e-05
1,4,3.12543843849532e-07,0.834973640043982,0.708491946406238,0.870430138575983,47,0.0777479998364932,0.235364313960969,0.150158431690398,0.0017537925,0.0032607925,0.0027927925,0.0028037925,0.01402402112478,0.000322463388160027,0.0137549896181651,0.000322462773694455
2,3,5.89962523168366e-07,0.873516884316139,0.773863320280914,0.760987970398297,46,0.0159882833218703,0.0817639786347114,0.0408762559508601,0.0035237925,0.0061557925,0.0051677925,0.0054187925,0.00162262023661533,6.74859003543246e-06,0.00160416907472759,6.72156323828156e-06
1,3,9.50546075643374e-07,0.822441040828384,0.958008384604866,0.775697723371097,46,0.0334283588720687,0.317292401191947,0.309241978811973,0.0017697925,0.0031787925,0.0025717925,0.0026137925,0.0105562065493779,9.4792440982258e-05,0.0101773078549091,9.37983769118187e-05
1,2,4.69462558143643e-07,0.771108094072908,0.861649319302496,0.923147756222528,61,0.0824279107369011,0.248692159047524,0.171785758180792,0.0022487925,0.0037907925,0.0034527925,0.0034767925,0.031455612552881,0.000106092640892457,0.0307622385589581,0.000104800704372298
2,3,3.42843301232409e-07,0.971013856168676,0.86584659360573,0.758628844332796,41,0.0274090854360995,0.0310246161087637,0.01417485567494,0.0031287925,0.0055207925,0.0045517925,0.0046207925,0.000414988681800956,9.7356663712444e-07,0.0004130609349873,9.71182546248211e-07
3,4,4.90259779062274e-07,0.872103846001686,0.952609267707882,0.874407678181977,78,0.0675514792791946,0.173875535200442,0.0799258562774775,0.0117977925,0.0219757925,0.0177137925,0.0174617925,0.017216143339331,3.25047609951771e-05,0.017134710891683,3.19492164958965e-05
3,1,6.48511915690947e-08,0.700861098109348,0.737251994535973,0.991005996726494,74,0.057220327821136,0.274836846260518,0.100930735317266,0.0113857925,0.0173907925,0.0187707925,0.0180437925,0.0283238813705271,0.000264884381414184,0.0276776293877167,0.000275265613020478
4,4,4.19310509903027e-07,0.885143474086217,0.783755103703342,0.954048640447011,41,0.0932327173359416,0.368254693411235,0.295757845165081,0.0122457925,0.0237887925,0.0186707925,0.0184607925,0.0168069186841687,1.58419920484033e-05,0.0167182882192437,1.57576212100317e-05
3,4,1.05632103864995e-07,0.797993470531629,0.875727781437486,0.771954327744276,48,0.03369670934384,0.0101567897076294,0.0101379746743782,0.0074357925,0.0140067925,0.0107757925,0.0109067925,3.26040580724776e-06,5.99827737881345e-09,3.23659976906619e-06,5.99764223887583e-09
5,3,8.63900042895225e-07,0.858117430677283,0.990878724495902,0.848130914280619,54,0.0159364981615621,0.390936068122113,0.354306000856299,0.0328957925,0.0572467925,0.0478787925,0.0477967925,0.00298681878665206,7.27610367795414e-07,0.00298159325835247,7.27381433967408e-07
2,2,8.62116416221749e-07,0.965782629793232,0.868309065776713,0.885986715514414,46,0.0761559366959803,0.156866322750852,0.107331221857689,0.0036807925,0.0064287925,0.0057327925,0.0058507925,0.00922014387582971,4.67698193696133e-05,0.00921224075676189,4.59105671753877e-05
6,4,2.00682624177571e-07,0.80718092800075,0.705594186811883,0.948694269865054,73,0.0794960226588922,0.389775579959746,0.112618499422266,0.0893967925,0.1698787925,0.1313747925,0.1328817925,0.00794251502895356,4.4177362905002e-05,0.00789227669718617,4.39838728238541e-05
1,1,6.06299931384322e-07,0.97256054527594,0.940189801804185,0.747037418393825,54,0.0917034267253172,0.245839279379881,0.0695179810223199,0.0019997925,0.0031097925,0.0036897925,0.0037187925,0.0449624142622705,0.000822966669930237,0.0437299954881972,0.000748333966004754
5,2,8.36299344854237e-07,0.887008034737541,0.769892282152306,0.705572860653223,78,0.0938774862277154,0.33324986511247,0.286345644661864,0.0501177925,0.0809307925,0.0716887925,0.0699107925,0.00886596571394766,5.98870639818438e-06,0.0088375280913734,5.9652713443778e-06
3,4,8.17665054079264e-08,0.704746372853967,0.942131558685634,0.721006643115767,64,0.0112556415678037,0.23413748683616,0.128280634590275,0.0103157925,0.0191157925,0.0148227925,0.0145997925,0.033403614110215,1.73757396140413e-05,0.0333171417374703,1.79621295709731e-05
4,2,6.55711798851948e-07,0.978831170123128,0.816358193219252,0.84590353328111,76,0.0310925877509278,0.254949717339867,0.206489130787967,0.0240747925,0.0397617925,0.0349667925,0.0347657925,0.00731061893323756,7.55467138844674e-06,0.00729764913745879,7.5251838367555e-06
1,2,2.56696017895206e-07,0.907269075255077,0.959062556367829,0.881898838495999,74,0.0655100521301492,0.121374749861321,0.0737607654006935,0.0030567925,0.0048477925,0.0047007925,0.0041727925,0.0135726551189212,9.10114114247886e-05,0.0135143615652894,8.71805521772965e-05
2,1,2.81261994503053e-07,0.999196855135444,0.924136492821155,0.870655431125944,77,0.0954114688618855,0.238865002855872,0.177790666143688,0.0060777925,0.0092677925,0.0087767925,0.0088137925,0.0391126943362343,0.000171690306132142,0.0386979179135178,8.75805447449737e-05
5,1,1.25526969706248e-07,0.751702152503599,0.866872070197126,0.795208722796648,59,0.0955158507322372,0.302508487844037,0.161815306322984,0.0353247925,0.0554367925,0.0521407925,0.0522707925,0.00942782742104405,2.2026162875149e-05,0.00940153973888509,3.59808944638437e-06
6,3,3.82564515014947e-07,0.741140724888663,0.740936567698205,0.996584846323735,62,0.0600987869375641,0.344742396207327,0.268047527399076,0.0767647925,0.1335317925,0.1102567925,0.1109457925,0.00605582458572352,2.49556606614549e-06,0.00604433989730573,2.49250654867818e-06
2,1,2.56566990312936e-07,0.979778638911149,0.717975306853664,0.873923565773739,72,0.0924045714789647,0.304482053502395,0.177518469253971,0.0057457925,0.0089127925,0.0086067925,0.0082737925,0.0382766629237981,0.000659598131480132,0.0378906169662048,0.000363358289020238
5,2,6.54590641441936e-07,0.90904544844697,0.736403036722221,0.814042351787065,52,0.0677409588051704,0.282242326894448,0.136785941005612,0.0325967925,0.0529037925,0.0467347925,0.0462317925,0.00692068166711395,2.74892823741309e-05,0.00690369347394146,2.73894493465514e-05
6,2,7.32771387152624e-07,0.719800051816619,0.713365563563429,0.865284465735369,60,0.0451006942727122,0.347146977721294,0.12553652961506,0.0739667925,0.1213087925,0.1069217925,0.1074937925,0.00852168606544828,2.55091120981267e-05,0.00845020418487498,2.53646061367434e-05
6,1,1.13072643985894e-07,0.92663891578074,0.732248238731828,0.923600329271951,64,0.0537391600387219,0.135845588766331,0.0185838456108679,0.0817357925,0.1209897925,0.1175247925,0.1171977925,0.00500107470927223,1.32240299028768e-05,0.0049724355930506,8.48643022482891e-06
1,3,5.76189722027418e-07,0.926162856538374,0.767712801582356,0.900769868035955,41,0.0643879434627976,0.271607628407159,0.108867848271746,0.0016007925,0.0028277925,0.0029887925,0.0028247925,0.0251505800410232,0.00101229428940648,0.0238810243738892,0.00101260766136419
1,1,4.48083533230983e-08,0.976907360663945,0.913896694114803,0.779475867298843,64,0.0594593129357706,0.185840835201206,0.0240015160062568,0.0026227925,0.0039777925,0.0048497925,0.0047407925,0.0623664561411934,0.00115718120382654,0.0607957970409798,0.000512529579638797
2,3,3.43192917159736e-07,0.913457427588542,0.867915094616243,0.719900450328532,58,0.0933563284035808,0.159020073292292,0.15645947832103,0.0044497925,0.0077717925,0.0063637925,0.0064687925,0.0108169035508822,3.49178958406312e-05,0.0106661121023789,3.45684147605456e-05
6,3,3.84521236992969e-07,0.737281288591649,0.703766794047735,0.811025259374232,73,0.0926860092070246,0.170216426469652,0.0390973620411792,0.0942027925,0.1641437925,0.1365187925,0.1366677925,0.00340810236751663,9.64569303511123e-06,0.00338271739378785,9.62923120588846e-06
