HR,NcR,TolR,AlphaR,LambdaR,TR,Bench2_1,Bench2_2,Bench2_3,Bench2_4,Bench2_5,Bench2_6,Bench2_7,Bench2_8
0.0544050083819523,1,8.97675804615057e-07,0.64589838918135,-1.17892120455816,2.57579423751589,0.0005818825,0.0016767925,0.0006833825,0.0006403825,0.0571640206178453,0.00366915577975113,0.0425251459479949,0.00535321318821033
0.0911330441277613,2,5.85985417779214e-07,0.979795703482829,-1.23589888189947,9.73821064000218,0.0011397925,0.0020697925,0.0013827925,0.0013107925,0.387397688282555,0.419532447820256,0.463356219691682,0.419681282517385
0.00392010007553786,4,3.05669282288028e-07,0.779964853391976,-1.25475839218715,6.54480369535954,0.0191497925,0.0335427925,0.0234217925,0.0220677925,0.0307495062105823,0.0364522902956387,0.0464049457154782,0.0364522903827397
0.0405168349671368,3,5.8586214840005e-07,0.831355845754853,-3.21589960842741,3.62634587728792,0.0009538825,0.0016057925,0.0011277925,0.0010377925,0.089946176468339,0.0157416797236893,0.0898900595238708,0.0157012307304169
0.0216774711536348,3,9.50051536399807e-07,0.763254721104512,-8.74025153814599,4.01860595656259,0.0020497925,0.0033937925,0.0024497925,0.0023047925,0.171190209375895,0.0163641807532152,0.101803680788202,0.0204067418192115
0.0150878767102841,2,4.6415718372508e-07,0.694810792097211,-5.84947957907488,7.95060683260074,0.0061387925,0.0096907925,0.0069117925,0.0065827925,0.10959072981568,0.0172044370151125,0.0711009412576636,0.012718123736159
0.0264611974715148,3,3.36271734244733e-07,0.961351808224902,-5.97539780817189,3.56343584887455,0.0015337925,0.0024657925,0.0018177925,0.0016507925,0.179258623260914,0.204485158366867,0.265516111488053,0.204441093887955
0.0457514942903691,4,4.85162376852897e-07,0.829471794668914,-8.57827803123645,6.65087141818606,0.0017107925,0.0027857925,0.0019317925,0.0019247925,0.252326205382047,0.0348194848974496,0.137189492600878,0.0292618706433967
0.0519523113326202,1,5.54997034847858e-08,0.601148130812464,-2.1175598360792,9.7601599127065,0.0020357925,0.0030897925,0.0024187925,0.0022747925,0.118455401972693,0.0143212806739654,0.0588084202587909,0.0170852231692423
0.069153588883219,4,4.13503615002057e-07,0.84685796544829,-3.51265311110026,8.77463041192028,0.0012827925,0.0022597925,0.0015297925,0.0014677925,0.137234911798861,0.0165891159662906,0.114868061354928,0.0165182290466006
0.054668085728524,4,9.66884249036453e-08,0.730657960708838,-6.27183344312459,3.91878207318069,0.0007443825,0.0014767925,0.0009147925,0.0008908825,0.316753760287901,0.0608346319047535,0.113152399479979,0.0457866003421188
0.0868820488761701,3,8.62539043324177e-07,0.810823240903044,-9.72636173487707,5.95015771414984,0.0007413825,0.0012377925,0.0008583825,0.0008373825,1.01305193996212,0.282205737524653,0.155722855121267,0.0932554358639363
0.0286641396159259,2,8.60737580383967e-07,0.95437683972431,-6.04927197330139,6.95964574705104,0.0024607925,0.0041347925,0.0030157925,0.0029237925,0.145225936469902,0.167353002717662,0.237480249858371,0.168027381412495
0.110240783312966,4,1.92689450419347e-07,0.742907904001,-1.16782560435649,8.63184719640143,0.0008508825,0.0015007925,0.0009843825,0.0009653825,0.083683485484751,0.00679060757916077,0.0676197582184064,0.00676520164363085
0.00722271636381137,1,6.02362930698165e-07,0.96341406036792,-8.20569405412555,3.25433115716867,0.0048337925,0.0074367925,0.0057207925,0.0058247925,0.328943070677373,0.357695776577898,0.391213712349151,0.356488924057533
