HR,NcR,TolR,AlphaR,Bench1_1,Bench1_2,Bench1_3,Bench1_4,Bench1_5,Bench1_6,Bench1_7,Bench1_8
0.0544050083819523,4,1.16782239403311e-07,0.529820200759693,0.0002918825,0.0004493825,0.0005287925,0.0006957925,0.218861060454983,0.00886262113008453,0.172579245196858,0.00928205304493106
0.0911330441277613,3,3.76390160165097e-07,0.539316480316579,0.0001469365,0.000233579166666667,0.0002461775,0.0002329275,0.288450649635401,0.0194423462448693,0.216872558250028,0.0114189212330936
0.00392010007553786,2,2.49132660216066e-07,0.542459732031192,0.0033867925,0.0056207925,0.0049087925,0.0045857925,0.050728049263066,9.53569908231356e-05,0.0479414519005886,9.28207978189421e-05
0.0405168349671368,4,6.51136547856355e-07,0.869316601404569,0.0003064275,0.0005413825,0.000449245833333333,0.0004369125,0.208093189057212,0.0049926321212445,0.200473694957479,0.00499339931163247
0.0216774711536348,1,7.3009910102415e-07,1.79004192302433,0.0006088825,0.0009507925,0.0007433825,0.0007093825,0.218875506529728,0.00216853682390547,0.22386512261413,0.00212383373268787
0.0150878767102841,2,1.04203370425753e-07,1.30824659651248,0.0008338825,0.0013487925,0.0011337925,0.0011467925,0.154532321148146,0.00105386808497994,0.155469504101441,0.00105422640734464
0.0264611974715148,4,5.71951619247692e-07,1.32923296802865,0.000462245833333333,0.0008968825,0.0007263825,0.0007128825,0.205923080318631,0.00246461313471334,0.208303982000402,0.00246433392756325
0.0457514942903691,2,3.52564368563292e-08,1.76304633853941,0.0002864275,0.000432245833333333,0.0004009125,0.000385245833333333,0.311283450050982,0.00642943753636162,0.326132479123274,0.00642975026659345
0.0519523113326202,2,3.36624846331334e-07,0.686259972679867,0.0002551365,0.0003829125,0.000366579166666667,0.000349579166666667,0.224866674229829,0.00729681306453581,0.201091562282637,0.00829223805666573
0.069153588883219,1,3.78366449362899e-07,0.918775518516709,0.000177109166666667,0.0002669275,0.0003006775,0.0002646775,0.296588507190537,0.0246387711532098,0.280356953831528,0.0144147092374521
0.054668085728524,1,8.8526550164392e-07,1.37863890718743,0.0002466775,0.0003729125,0.000366245833333333,0.0003459125,0.3242587180186,0.00970196231438785,0.328267733494826,0.00843987564858665
0.0868820488761701,3,5.06056902187995e-08,1.95439362247951,0.000146946785714286,0.0002397365,0.0002327365,0.0002205365,0.48282402312701,0.0180393930823189,0.525455011582036,0.0180393913788632
0.0286641396159259,1,5.50132857733407e-07,1.34154532888356,0.0004439125,0.0006898825,0.0006638825,0.0006253825,0.214733185601413,0.00332114011647612,0.217664852602286,0.00274781109055146
0.110240783312966,2,4.21668224574307e-07,0.527970934059415,0.000113841388888889,0.000169775833333333,0.0002049365,0.0001929425,0.358362903035455,0.0361441974963833,0.263437171073027,0.0242069194593228
0.00722271636381137,2,5.91904010918995e-07,1.70094900902092,0.0019417925,0.0029527925,0.0021727925,0.0021267925,0.119107341573888,0.000394368969304858,0.120032831148522,0.000394353579366711
0.0850956750606659,1,7.62996722454997e-07,0.849461410761531,0.000144946785714286,0.0002077365,0.0002191365,0.0002069365,0.316130090532096,0.0382665823671002,0.290642973872172,0.0170420569990052
0.0544392534116443,3,9.67108173898025e-08,1.71065779342817,0.0002689275,0.000419579166666667,0.000363245833333333,0.000350579166666667,0.35596989645007,0.00840966983971551,0.370629876679221,0.0084096492070596
0.0715600964133527,1,4.26377881276381e-07,1.08179096609626,0.000182609166666667,0.0002616775,0.0002624275,0.0002443365,0.310826054624043,0.0181078198841471,0.308535720317224,0.0105271250369765
0.0209062308455166,3,9.97129960001544e-07,1.79531278183914,0.0005923825,0.0010237925,0.0007183825,0.0006863825,0.208086202716719,0.00201305995780978,0.213163519975317,0.00201275314561795
0.027895102193872,3,3.82916800870638e-07,1.62068246410578,0.000435579166666667,0.0007423825,0.0006043825,0.0005828825,0.232021605642259,0.00290599010312146,0.237862380172603,0.00290578374021018
0.100871412613053,1,6.73387762718081e-07,1.33436035098563,0.0001222,0.000179109166666667,0.0001834425,0.000173109166666667,0.420724792212514,0.0248104934763681,0.432958412638374,0.0194332975617839
0.121156675184771,2,4.72994603552616e-07,0.704682838491028,0.0001025545,0.0001512325,0.0001809425,0.000160803928571429,0.400994908928337,0.042825382404141,0.321062544284016,0.0451587902239066
0.0418599590739708,3,1.14146494899157e-07,0.589876534268317,0.0002766775,0.000467579166666667,0.000413579166666667,0.000408245833333333,0.184495407824057,0.00461095977634598,0.157835419011812,0.00400062811051592
0.087742191741206,2,6.427659669735e-07,0.682015183611106,0.000137575,0.0002113365,0.0002275365,0.0002243365,0.312212748610972,0.0221268173646024,0.26063219105389,0.0239050070874243
0.110031498910848,1,9.15557025952928e-08,0.566827817817143,0.000122075,0.000161375357142857,0.0002147365,0.000181109166666667,0.36057547707011,0.133993290356424,0.274341267616744,0.0264452913378682
0.112237525658669,3,3.76702220219776e-07,0.661241193659139,0.0001032545,0.000163946785714286,0.000173609166666667,0.000171609166666667,0.342298165054256,0.0237551022225131,0.279165449704847,0.0203916458887849
0.014204572470559,3,9.84180339277728e-07,0.838564007911782,0.0008223825,0.0014457925,0.0011807925,0.0011357925,0.116895083850405,0.000890526357882251,0.114890534254903,0.000889234923174917
0.00863554015710685,3,7.06557099796131e-08,1.56948347057402,0.0013377925,0.0023877925,0.0017727925,0.0016627925,0.125393286901004,0.000488373085611538,0.126373218751814,0.000488325860944039
