Column1,Column2,Column3,Column4
0.0,1.0,1.0,1.0
0.15625,0.5740052291905138,1.5058571723162968,5.015201009253692
0.3125,0.1262362663005361,1.3243493057093076,11.3403939274305
0.46875,0.015720830281862972,0.9505400263044658,13.413438603117323
0.625,0.002216471720015939,0.6845036958501961,12.098339964185744
0.78125,0.00047561306900011855,0.5059946322931282,9.779464685350579
0.9375,0.00015866160759744758,0.38273612980369914,7.571297241299914
1.09375,7.634645033935166e-5,0.29537464684544473,5.798781683053108
1.25,4.8561968933830195e-5,0.2321595739965073,4.465350069561272
1.40625,3.7956441994985466e-5,0.1856154749854967,3.484202520820566
1.5625,3.4508669967523356e-5,0.15081638708134593,2.7636805208287787
1.71875,3.5076720555481385e-5,0.12443099189955252,2.2302882600771987
1.875,3.875060323904502e-5,0.10416039522392756,1.8303153938527863
2.03125,4.559598727150655e-5,0.0883916369514025,1.5258769654447513
2.1875,5.631587939683715e-5,0.07597686080002017,1.2905350760261092
2.34375,7.223851371699648e-5,0.06608890431531866,1.1058134294055673
2.5,9.548179197263818e-5,0.058124906592487514,0.9586995088661331
2.65625,0.00012927680836786107,0.05164086913232163,0.8399277119273225
2.8125,0.0001784915412365702,0.046306587564121385,0.7428173047046834
2.96875,0.00025044217764674847,0.04187422421061571,0.6624878765047969
3.125,0.00035613590376307354,0.03815615253196602,0.5953273934942283
3.28125,0.0005121702803384902,0.03500918870345857,0.5386286700423818
3.4375,0.000743637351823052,0.03232327887666899,0.49033853758347057
3.59375,0.0010885694358769163,0.030013334855782458,0.44888303293649423
3.75,0.0016047544231611252,0.028013327443807117,0.41304444845483207
3.90625,0.0023801970194953256,0.026272030851372,0.38187429279580387
4.0625,0.0035491939288897975,0.024750011642735378,0.3546316296363697
4.21875,0.005317055472983294,0.0234176045833999,0.33073991156621946
4.375,0.007998139833896923,0.022253740517829575,0.3097579926198598
4.53125,0.012074360577785334,0.02124561203701897,0.2913629766681339
4.6875,0.01828510441637692,0.020389312978535745,0.27534436132447637
4.84375,0.027765130608487985,0.019691824186144916,0.2616110687595229
5.0,0.042255217817565804,0.01917516140983961,0.25021626374209516
5.15625,0.06442167283477875,0.018884440974377123,0.24141116639066984
5.3125,0.09833491428324481,0.018903807876587866,0.23575285003513866
5.46875,0.15016979805979366,0.01938974337324306,0.2343244239529423
5.625,0.22918275537471197,0.02064689301114341,0.23921543536101694
5.78125,0.34892517521585525,0.023320623899087053,0.2546781158723753
5.9375,0.5282108095802459,0.02895712374393909,0.2902938362261996
6.09375,0.7894817595440949,0.04192765404900812,0.3712145661625397
6.25,1.1436463629786378,0.07741270435589928,0.5790633704483209
6.40625,1.5084227086706201,0.19846454429275376,1.2568307149986928
6.5625,1.414155155297754,0.593098534070989,3.937225065901183
6.71875,0.5407534129425307,0.9599123065044056,9.462174468392181
6.875,0.10804867918889449,0.781167800319254,10.76779072838476
7.03125,0.026454768170953536,0.5515755658732968,8.902138522130995
7.1875,0.009968588254307473,0.39254451988847666,6.741782647071326
7.34375,0.005452047366466068,0.2856274521204882,5.0133293776072225
7.5,0.003928603965928275,0.21229402254329194,3.75697816271826
7.65625,0.0034429781692641766,0.16091315329809455,2.867218411096383
7.8125,0.0034647904225821907,0.1242462553332381,2.236405133358146
7.96875,0.0038480537577191836,0.09766152354722149,1.7834475338002895
8.125,0.004590165878724444,0.07811480731238775,1.452456051938271
